City, Country, Latitude, Longitude 
Seoul, South Korea, 37.566536, 126.977966
Olympia, US, 47.035530, -122.900833
Lucknow ,India, 26.846260, 80.948997
Richland, US, 46.280450, -119.273680
Chandpur, Bangladesh, 23.232099, 90.663075
Lahore, Pakistan, 31.520370, 74.358747
Snoqualmie, US, 47.528713, -121.825391
Grayland, US, 46.810093, -124.093227
Richland, US, 46.280420, -119.275200
Walla Walla, US, 46.064581, -118.343021
Kennewick, US, 46.208668, -119.119948
Dhaka, Bangladesh, 23.810332, 90.412518
Dhaka, Bangladesh, 23.810332, 90.412518
Moses Lake, US, 47.130142, -119.278077
Chengdu, China, 30.572815, 104.066801
Rancho Cucamonga, US, 34.106399, -117.593108
Chongqing, China, 29.431586, 106.912251
Bhatpara, India, 22.853576, 88.391163
Spokane, US, 47.658780, -117.426046
Normal, US, 40.514203, -88.990631
Seattle, US, 47.606209, -122.332071
Taipei, Taiwan, 25.032969, 121.565418
Wuhan, China, 30.592849, 114.305539
Mymensingh, Bangladesh, 24.747149, 90.420273
Beijing, China, 39.904200, 116.407396
Pullman, US, 46.729777, -117.181738
Shanghai, China, 31.230416, 121.473701
Kolkata, India, 22.572646, 88.363895
Lagos, Nigeria, 6.524379, 3.379206
Pullman, US, 46.729777, -117.181738
Pullman, US, 46.729777, -117.181738
Dhaka, Bangladesh, 23.810332, 90.412518
Portland, US, 43.659099, -70.256819
Tehran, Iran, 35.689197, 51.388974
Pullman,  US, 46.729777, -117.181738
Pullman, US, 46.729777, -117.181738
Pune, India, 18.520430, 73.856744
Pullman, US, 46.729777, -117.181738
Xiamen, China, 24.479833, 118.089425
Seattle, US, 47.606209, -122.332071
Snohomish, US, 47.912876, -122.098185
Spokane, US, 47.658780, -117.426046
Crest View, Florida, 30.754181, -86.572800
Bothell, US, 47.760111, -122.205445
Vancouver, US, 45.625738, -122.676089
Biratnagar, Nepal, 26.452475, 87.271781
Guangzhou, China, 23.129110, 113.264385
Chicago, US, 41.878114, -87.629798
Spokane, US, 47.658780, -117.426046
Changsha, China, 28.228209, 112.938814
Hohhot, China, 40.842356, 111.749995
Lahore, Pakistan, 31.520370, 74.358747
Hayden, US, 47.766016, -116.786581
